Category: All categories,,,
,,,
Region,"Milkshake: (4/12/26, 11:33 AM - 4/13/26, 11:33 AM)","Hamburger: (4/12/26, 11:33 AM - 4/13/26, 11:33 AM)","Breakup: (4/12/26, 11:33 AM - 4/13/26, 11:33 AM)"
Tennessee,21%,66%,13%
Arkansas,22%,63%,15%
South Carolina,24%,63%,13%
North Carolina,23%,64%,13%
Kentucky,20%,65%,15%
Georgia,22%,63%,15%
Alabama,21%,66%,13%
Indiana,21%,65%,14%
Wyoming,24%,64%,12%
Virginia,23%,61%,16%
Nevada,22%,63%,15%
Arizona,21%,63%,16%
Kansas,20%,65%,15%
Ohio,19%,67%,14%
Illinois,20%,64%,16%
Mississippi,20%,67%,13%
Florida,23%,63%,14%
Oklahoma,19%,67%,14%
Texas,21%,64%,15%
Utah,19%,65%,16%
Missouri,20%,66%,14%
New Jersey,21%,63%,16%
West Virginia,21%,61%,18%
Connecticut,21%,66%,13%
Delaware,20%,64%,16%
Michigan,19%,68%,13%
Colorado,19%,66%,15%
North Dakota,17%,69%,14%
Alaska,19%,64%,17%
Rhode Island,21%,63%,16%
Maryland,23%,61%,16%
Iowa,17%,70%,13%
California,19%,60%,21%
Oregon,18%,67%,15%
Washington,18%,64%,18%
Pennsylvania,19%,65%,16%
New Mexico,19%,66%,15%
Wisconsin,18%,67%,15%
New York,18%,62%,20%
Minnesota,16%,69%,15%
Louisiana,18%,65%,17%
Nebraska,17%,69%,14%
New Hampshire,20%,65%,15%
Idaho,16%,68%,16%
Maine,17%,66%,17%
Massachusetts,19%,61%,20%
South Dakota,15%,72%,13%
Montana,14%,73%,13%
Vermont,16%,71%,13%
District of Columbia,16%,62%,22%
Hawaii,13%,70%,17%
