OrderID,OrderDate,ShipName,ShipCountry
10248,"2023-07-04 00:00:00","Vins et alcools Chevalier",France
10249,"2023-07-05 00:00:00","Toms Spezialitten",Germany
10250,"2023-07-08 00:00:00","Hanari Carnes",Brazil
10251,"2023-07-08 00:00:00","Victuailles en stock",France
10252,"2023-07-09 00:00:00","Suprmes dlices",Belgium
10253,"2023-07-10 00:00:00","Hanari Carnes",Brazil
10254,"2023-07-11 00:00:00","Chop-suey Chinese",Switzerland
10255,"2023-07-12 00:00:00","Richter Supermarkt",Switzerland
10256,"2023-07-15 00:00:00","Wellington Importadora",Brazil
10257,"2023-07-16 00:00:00",HILARION-Abastos,Venezuela
10258,"2023-07-17 00:00:00","Ernst Handel",Austria
10259,"2023-07-18 00:00:00","Centro comercial Moctezuma",Mexico
10260,"2023-07-19 00:00:00","Ottilies Kseladen",Germany
10261,"2023-07-19 00:00:00","Que Delcia",Brazil
10262,"2023-07-22 00:00:00","Rattlesnake Canyon Grocery",USA
10263,"2023-07-23 00:00:00","Ernst Handel",Austria
10264,"2023-07-24 00:00:00","Folk och f HB",Sweden
10265,"2023-07-25 00:00:00","Blondel pre et fils",France
10266,"2023-07-26 00:00:00","Wartian Herkku",Finland
10267,"2023-07-29 00:00:00",Frankenversand,Germany
10268,"2023-07-30 00:00:00",GROSELLA-Restaurante,Venezuela
10269,"2023-07-31 00:00:00","White Clover Markets",USA
10270,"2023-08-01 00:00:00","Wartian Herkku",Finland
10271,"2023-08-01 00:00:00","Split Rail Beer & Ale",USA
10272,"2023-08-02 00:00:00","Rattlesnake Canyon Grocery",USA
10273,"2023-08-05 00:00:00",QUICK-Stop,Germany
10274,"2023-08-06 00:00:00","Vins et alcools Chevalier",France
10275,"2023-08-07 00:00:00","Magazzini Alimentari Riuniti",Italy
10276,"2023-08-08 00:00:00","Tortuga Restaurante",Mexico
10277,"2023-08-09 00:00:00","Morgenstern Gesundkost",Germany
10278,"2023-08-12 00:00:00","Berglunds snabbkp",Sweden
10279,"2023-08-13 00:00:00","Lehmanns Marktstand",Germany
10280,"2023-08-14 00:00:00","Berglunds snabbkp",Sweden
10281,"2023-08-14 00:00:00","Romero y tomillo",Spain
10282,"2023-08-15 00:00:00","Romero y tomillo",Spain
10283,"2023-08-16 00:00:00",LILA-Supermercado,Venezuela
10284,"2023-08-19 00:00:00","Lehmanns Marktstand",Germany
10285,"2023-08-20 00:00:00",QUICK-Stop,Germany
10286,"2023-08-21 00:00:00",QUICK-Stop,Germany
10287,"2023-08-22 00:00:00","Ricardo Adocicados",Brazil
10288,"2023-08-23 00:00:00","Reggiani Caseifici",Italy
10289,"2023-08-26 00:00:00","B-s Beverages",UK
10290,"2023-08-27 00:00:00","Comrcio Mineiro",Brazil
10291,"2023-08-27 00:00:00","Que Delcia",Brazil
10292,"2023-08-28 00:00:00","Tradiao Hipermercados",Brazil
